mirna_core_accession,mirna_id,study,comparison,log2_fold_change,padj,direction,base_mean,lfc_se,stat,pvalue,design,n_groups,reps_per_group,total_mirnas_before_prefilter,tested_mirnas_after_prefilter,prefilter_rule,fdr_threshold,significance_rule,confidence_class
43,Chr08_31426,QIN-2021,GL9_stem_vs_GL9_callus,-4.1658984161651,7.7953018912754e-27,up_in_GL9_callus,1389.1438640134,0.382048023837557,-10.9041224040892,1.10151004985413e-27,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
60,Chr11_43106,QIN-2021,GL9_stem_vs_GL9_callus,3.22422818794526,1.99805791635275e-26,up_in_GL9_stem,7925.82814154481,0.298225332540251,10.8113826564686,3.04052291618897e-27,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
50,Chr09_36714,QIN-2021,GL9_stem_vs_GL9_callus,-3.33035445146845,8.59643873421146e-23,up_in_GL9_callus,2762.47834050811,0.332759711485223,-10.0082862694042,1.4015932718823e-23,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
80,Egr-miR156n,QIN-2021,GL9_stem_vs_GL9_callus,3.87562523442691,8.96534805456935e-22,up_in_GL9_stem,30519.5505431814,0.396805936472132,9.7670545679931,1.55919096601206e-22,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
78,Egr-miR156l,QIN-2021,GL9_stem_vs_GL9_callus,3.86195356256355,1.50926991458384e-21,up_in_GL9_stem,29595.7626446802,0.398052459157277,9.70212210405572,2.95291939809881e-22,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
79,Egr-miR156m,QIN-2021,GL9_stem_vs_GL9_callus,3.86195356256355,1.50926991458384e-21,up_in_GL9_stem,29595.7626446802,0.398052459157277,9.70212210405572,2.95291939809881e-22,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
31,Chr06_24996,QIN-2021,GL9_stem_vs_GL9_callus,2.93887969333127,1.64433547811801e-19,up_in_GL9_stem,695.388808467357,0.319247182661472,9.20565584582667,3.39591022654807e-20,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
28,Chr05_23099,QIN-2021,GL9_stem_vs_GL9_callus,3.22968050870046,3.21064225264163e-16,up_in_GL9_stem,486.789292681021,0.386909697285772,8.34737545054348,6.97965707096007e-17,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
51,Chr09_36718,QIN-2021,GL9_stem_vs_GL9_callus,-2.81503274296978,3.34003641412032e-16,up_in_GL9_callus,1312.30190059681,0.337881027765959,-8.33143181072505,7.98704359898338e-17,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
61,scaffold_1630_46529,QIN-2021,GL9_stem_vs_GL9_callus,-2.81503274296978,3.34003641412032e-16,up_in_GL9_callus,1312.30190059681,0.337881027765959,-8.33143181072505,7.98704359898338e-17,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
8,Chr02_5696,QIN-2021,GL9_stem_vs_GL9_callus,6.65380015793428,1.59700692540098e-15,up_in_GL9_stem,92.4362623621649,0.817541813997665,8.13878879833452,3.99251731350245e-16,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
9,Chr02_5754,QIN-2021,GL9_stem_vs_GL9_callus,-2.6678241410772,5.73822704419269e-14,up_in_GL9_callus,27300.7140468839,0.347256797222695,-7.68256852684825,1.55930082722627e-14,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
57,Chr11_41982,QIN-2021,GL9_stem_vs_GL9_callus,-2.6697643661224,5.73822704419269e-14,up_in_GL9_callus,27280.3394924559,0.347494145874678,-7.68290458362208,1.55521426301784e-14,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
13,Chr03_12134,QIN-2021,GL9_stem_vs_GL9_callus,-3.09149721241702,5.97836747089942e-14,up_in_GL9_callus,1360.33066601815,0.402943273929168,-7.67228891121897,1.68953863308027e-14,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
92,Egr-miR482b,QIN-2021,GL9_stem_vs_GL9_callus,-2.20863438105002,7.12654015001988e-14,up_in_GL9_callus,364158.889856424,0.288903924581264,-7.64487496752147,2.09148460924496e-14,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
44,Chr08_33849,QIN-2021,GL9_stem_vs_GL9_callus,-3.02682105469861,9.60023775800805e-14,up_in_GL9_callus,114.644224769619,0.398174902892257,-7.60173740914466,2.92181149156767e-14,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
49,Chr09_36711,QIN-2021,GL9_stem_vs_GL9_callus,3.27926226538085,1.55559866161193e-13,up_in_GL9_stem,177.703298506538,0.435235084479068,7.53446213856081,4.90351752029848e-14,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
83,Egr-miR165b,QIN-2021,GL9_stem_vs_GL9_callus,3.3703541730538,4.4485011729486e-13,up_in_GL9_stem,206186.408765492,0.456200393736994,7.38788089472113,1.49187284200481e-13,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
85,Egr-miR165f,QIN-2021,GL9_stem_vs_GL9_callus,3.37054165839369,4.4485011729486e-13,up_in_GL9_stem,206171.668304443,0.456264654443447,7.38725129279428,1.4989514821892e-13,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
59,Chr11_44314,QIN-2021,GL9_stem_vs_GL9_callus,-2.46432374942613,5.26201538244909e-13,up_in_GL9_callus,1973.89201018551,0.334797352883363,-7.36064287307748,1.83026621998229e-13,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
84,Egr-miR165e,QIN-2021,GL9_stem_vs_GL9_callus,3.3823923146772,5.35758188625974e-13,up_in_GL9_stem,205164.32472034,0.459930971294698,7.35413034950838,1.92174132876708e-13,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
87,Egr-miR167b,QIN-2021,GL9_stem_vs_GL9_callus,2.28902038650938,7.18032233287378e-13,up_in_GL9_stem,885.157604637166,0.313096952309002,7.31089960994029,2.65359738388814e-13,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
91,Egr-miR482a,QIN-2021,GL9_stem_vs_GL9_callus,-2.37925630868206,8.68234267522305e-13,up_in_GL9_callus,107128.542139531,0.326756856036604,-7.28142735103171,3.30306514818268e-13,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
41,Chr08_30829,QIN-2021,GL9_stem_vs_GL9_callus,-2.66261073089625,3.06708177612912e-11,up_in_GL9_callus,86.7961813407135,0.392704323839211,-6.78019204083537,1.20016243413748e-11,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
19,Chr05_19934,QIN-2021,GL9_stem_vs_GL9_callus,6.98558937766371,5.37903845656836e-10,up_in_GL9_stem,58.5017228509898,1.10021829270593,6.34927579733563,2.16330894448945e-10,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
10,Chr02_8243,QIN-2021,GL9_stem_vs_GL9_callus,5.27288881714023,9.62654982261436e-10,up_in_GL9_stem,36.2199440459948,0.842993240623316,6.25495978264477,3.97618362238419e-10,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
88,Egr-miR167c,QIN-2021,GL9_stem_vs_GL9_callus,-1.8793590740439,2.80930842684604e-09,up_in_GL9_callus,18840.3560550784,0.309030709195613,-6.08146380965101,1.19090248529343e-09,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
86,Egr-miR167a,QIN-2021,GL9_stem_vs_GL9_callus,-1.763142748222,1.99548155404347e-08,up_in_GL9_callus,22650.5608368771,0.306379383787067,-5.7547695488786,8.67600675671072e-09,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
45,Chr08_34494,QIN-2021,GL9_stem_vs_GL9_callus,-3.62473623754961,2.61482540762991e-08,up_in_GL9_callus,26.0319065421826,0.63539180009955,-5.70472618151777,1.16530262731333e-08,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
4,Chr01_1685,QIN-2021,GL9_stem_vs_GL9_callus,-1.63355915467587,4.12825361002024e-08,up_in_GL9_callus,4367.19442883769,0.290761733248589,-5.61820545098776,1.92950983946598e-08,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
64,scaffold_368_47485,QIN-2021,GL9_stem_vs_GL9_callus,-1.63477085464877,4.12825361002024e-08,up_in_GL9_callus,4369.59494829767,0.290850171764292,-5.62066319140293,1.90225807037724e-08,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
6,Chr01_2889,QIN-2021,GL9_stem_vs_GL9_callus,-1.99887751365189,4.26113364764406e-08,up_in_GL9_callus,293.80025515508,0.356632994178576,-5.60485862575856,2.08425015373894e-08,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
7,Chr01_2891,QIN-2021,GL9_stem_vs_GL9_callus,-1.99887751365189,4.26113364764406e-08,up_in_GL9_callus,293.80025515508,0.356632994178576,-5.60485862575856,2.08425015373894e-08,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
99,Egr-miRN5674,QIN-2021,GL9_stem_vs_GL9_callus,-1.74968765833523,7.05063651943971e-08,up_in_GL9_callus,7905.03691350898,0.317368080659802,-5.5131179376882,3.52531825971985e-08,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
53,Chr10_41135,QIN-2021,GL9_stem_vs_GL9_callus,-3.79727205750398,1.63597608852851e-07,up_in_GL9_callus,33.4175393079153,0.708547964521126,-5.35923077567569,8.35770393052608e-08,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
33,Chr07_27100,QIN-2021,GL9_stem_vs_GL9_callus,-3.78301426345361,1.86098070729292e-07,up_in_GL9_callus,16.7229618876164,0.709482027475848,-5.33207906183697,9.70946455978915e-08,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
52,Chr09_37979,QIN-2021,GL9_stem_vs_GL9_callus,-1.80176128043994,5.14285524255827e-06,up_in_GL9_callus,101.641548470605,0.384214227897247,-4.68947048187345,2.73912942266691e-06,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
25,Chr05_23094,QIN-2021,GL9_stem_vs_GL9_callus,4.57428911834352,4.47143186483946e-05,up_in_GL9_stem,16.608542086786,1.08703512529474,4.20804168320065,2.57593357430969e-05,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
26,Chr05_23096,QIN-2021,GL9_stem_vs_GL9_callus,4.57428911834352,4.47143186483946e-05,up_in_GL9_stem,16.608542086786,1.08703512529474,4.20804168320065,2.57593357430969e-05,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
27,Chr05_23098,QIN-2021,GL9_stem_vs_GL9_callus,4.57428911834352,4.47143186483946e-05,up_in_GL9_stem,16.608542086786,1.08703512529474,4.20804168320065,2.57593357430969e-05,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
67,scaffold_46_44242,QIN-2021,GL9_stem_vs_GL9_callus,4.57428911834352,4.47143186483946e-05,up_in_GL9_stem,16.608542086786,1.08703512529474,4.20804168320065,2.57593357430969e-05,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
42,Chr08_30632,QIN-2021,GL9_stem_vs_GL9_callus,-2.17328751082179,0.000101030319526593,up_in_GL9_callus,32.9672622600896,0.541214185297001,-4.01557751046226,5.93004049395219e-05,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
15,Chr03_14181,QIN-2021,GL9_stem_vs_GL9_callus,-5.44872371502756,0.000263259727918761,up_in_GL9_callus,226.241191168478,1.44179693412364,-3.77912005919158,0.000157383532994911,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
89,Egr-miR396a,QIN-2021,GL9_stem_vs_GL9_callus,1.1999852143856,0.00028218244010123,up_in_GL9_stem,11792.3921593593,0.319752427582158,3.75285724477345,0.000174830424845327,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
90,Egr-miR396c,QIN-2021,GL9_stem_vs_GL9_callus,1.1999852143856,0.00028218244010123,up_in_GL9_stem,11792.3921593593,0.319752427582158,3.75285724477345,0.000174830424845327,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
56,Chr10_40549,QIN-2021,GL9_stem_vs_GL9_callus,-1.55247150918243,0.00209309007118191,up_in_GL9_callus,55.1977174304005,0.483381165066245,-3.21169218285464,0.00131955678400599,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
35,Chr07_27909,QIN-2021,GL9_stem_vs_GL9_callus,1.51072865695126,0.00249663756497935,up_in_GL9_stem,78.2813056741103,0.478729296475233,3.15570546460053,0.00160110452536719,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
98,Egr-miRN5668,QIN-2021,GL9_stem_vs_GL9_callus,-1.00613875035414,0.00291495610182237,up_in_GL9_callus,2640.59382673934,0.324010139596738,-3.10526933387447,0.00190105832727546,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
47,Chr08_35572,QIN-2021,GL9_stem_vs_GL9_callus,-1.68997573328961,0.00310414358764495,up_in_GL9_callus,40.8825025081983,0.549253057142695,-3.07686176947498,0.00209192285254334,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
68,scaffold_60_44348,QIN-2021,GL9_stem_vs_GL9_callus,-1.68997573328961,0.00310414358764495,up_in_GL9_callus,40.8825025081983,0.549253057142695,-3.07686176947498,0.00209192285254334,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
23,Chr05_19036,QIN-2021,GL9_stem_vs_GL9_callus,-1.33133085981077,0.0072116540010156,up_in_GL9_callus,34.9578822693527,0.474466577471296,-2.80595288061426,0.0050168027833152,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
29,Chr05_21615,QIN-2021,GL9_stem_vs_GL9_callus,-1.33133085981077,0.0072116540010156,up_in_GL9_callus,34.9578822693527,0.474466577471296,-2.80595288061426,0.0050168027833152,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
17,Chr05_17624,QIN-2021,GL9_stem_vs_GL9_callus,3.2064232046178,0.0116393630106178,up_in_GL9_stem,17202.2217854988,1.21774265912965,2.63308768940518,0.00846124987952315,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
37,Chr07_28646,QIN-2021,GL9_stem_vs_GL9_callus,3.20802256589639,0.0116393630106178,up_in_GL9_stem,17245.3859155297,1.2186330091271,2.63247634182689,0.00847649262729777,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
55,Chr10_41575,QIN-2021,GL9_stem_vs_GL9_callus,3.20891420277128,0.0116393630106178,up_in_GL9_stem,17205.993335704,1.21789025580752,2.63481392306864,0.0084183418832949,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
71,Egr-miR156d,QIN-2021,GL9_stem_vs_GL9_callus,0.783989347335791,0.0144641612663632,up_in_GL9_stem,6231.47887001118,0.3101432493264,2.52782979812888,0.0114769975265708,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
72,Egr-miR156e,QIN-2021,GL9_stem_vs_GL9_callus,0.783989347335791,0.0144641612663632,up_in_GL9_stem,6231.47887001118,0.3101432493264,2.52782979812888,0.0114769975265708,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
73,Egr-miR156f,QIN-2021,GL9_stem_vs_GL9_callus,0.783989347335791,0.0144641612663632,up_in_GL9_stem,6231.47887001118,0.3101432493264,2.52782979812888,0.0114769975265708,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
74,Egr-miR156h,QIN-2021,GL9_stem_vs_GL9_callus,0.783989347335791,0.0144641612663632,up_in_GL9_stem,6231.47887001118,0.3101432493264,2.52782979812888,0.0114769975265708,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
75,Egr-miR156i,QIN-2021,GL9_stem_vs_GL9_callus,0.783989347335791,0.0144641612663632,up_in_GL9_stem,6231.47887001118,0.3101432493264,2.52782979812888,0.0114769975265708,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
76,Egr-miR156j,QIN-2021,GL9_stem_vs_GL9_callus,0.783989347335791,0.0144641612663632,up_in_GL9_stem,6231.47887001118,0.3101432493264,2.52782979812888,0.0114769975265708,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
69,Egr-miR156a,QIN-2021,GL9_stem_vs_GL9_callus,0.773259105272846,0.0180519391656639,up_in_GL9_stem,10570.2199531346,0.317002035751888,2.4392875062735,0.0147162547546173,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
70,Egr-miR156b,QIN-2021,GL9_stem_vs_GL9_callus,0.773259105272846,0.0180519391656639,up_in_GL9_stem,10570.2199531346,0.317002035751888,2.4392875062735,0.0147162547546173,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
81,Egr-miR156o,QIN-2021,GL9_stem_vs_GL9_callus,0.73645413167468,0.0209499159005317,up_in_GL9_stem,6342.52218462755,0.309417389277592,2.38013168359447,0.0173064522656566,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
77,Egr-miR156k,QIN-2021,GL9_stem_vs_GL9_callus,-0.90269913530045,0.030661986393289,up_in_GL9_callus,14785.9977841867,0.404566044807136,-2.2312775550177,0.0256627494813397,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
58,Chr11_42092,QIN-2021,GL9_stem_vs_GL9_callus,-0.818711549716611,0.0411661490501394,up_in_GL9_callus,455.98952988475,0.388107537677126,-2.10949664780207,0.0349017350642486,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
78,Egr-miR156l,QIN-2021,DH201_stem_vs_DH201_callus,4.7993104263465,9.24564347510928e-76,up_in_DH201_stem,37291.0204151515,0.257825486532464,18.6145694550729,2.44819930818108e-77,"~ group",2,3_per_group,99,87,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
79,Egr-miR156m,QIN-2021,DH201_stem_vs_DH201_callus,4.7993104263465,9.24564347510928e-76,up_in_DH201_stem,37291.0204151515,0.257825486532464,18.6145694550729,2.44819930818108e-77,"~ group",2,3_per_group,99,87,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
80,Egr-miR156n,QIN-2021,DH201_stem_vs_DH201_callus,4.79803327367357,9.24564347510928e-76,up_in_DH201_stem,37776.306558011,0.257952988316971,18.6004174829631,3.18815292245148e-77,"~ group",2,3_per_group,99,87,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
2,Chr01_1229,QIN-2021,DH201_stem_vs_DH201_callus,5.70348991090198,3.77321787951723e-71,up_in_DH201_stem,34669.4589416703,0.316747512965443,18.0064236574581,1.73481281816884e-72,"~ group",2,3_per_group,99,87,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
15,Chr03_14181,QIN-2021,DH201_stem_vs_DH201_callus,-8.40125670957942,1.34122502099564e-38,up_in_DH201_callus,1969.69585972237,0.635989166118489,-13.209748148468,7.708189775837e-40,"~ group",2,3_per_group,99,87,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
50,Chr09_36714,QIN-2021,DH201_stem_vs_DH201_callus,-4.74912697059584,1.28975471274439e-35,up_in_DH201_callus,2498.87162143527,0.37489148616567,-12.6680043315178,8.89486008789231e-37,"~ group",2,3_per_group,99,87,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
53,Chr10_41135,QIN-2021,DH201_stem_vs_DH201_callus,-5.17910376348044,7.12969670745506e-34,up_in_DH201_callus,165.407918657407,0.4198080671341,-12.3368371618882,5.73653758071097e-35,"~ group",2,3_per_group,99,87,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
60,Chr11_43106,QIN-2021,DH201_stem_vs_DH201_callus,5.49678683759713,5.48600439035627e-33,up_in_DH201_stem,9730.62888223578,0.452019627816854,12.1605047642406,5.04460173825863e-34,"~ group",2,3_per_group,99,87,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
12,Chr03_12234,QIN-2021,DH201_stem_vs_DH201_callus,-4.7125117711764,2.82939549937676e-24,up_in_DH201_callus,17496.6102180244,0.453816778782796,-10.3841726253843,2.92696086142423e-25,"~ group",2,3_per_group,99,87,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
14,Chr03_14086,QIN-2021,DH201_stem_vs_DH201_callus,-4.71609057385465,5.30307617726738e-24,up_in_DH201_callus,17584.4380648398,0.457254356246827,-10.3139325179198,6.09548985892802e-25,"~ group",2,3_per_group,99,87,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
83,Egr-miR165b,QIN-2021,DH201_stem_vs_DH201_callus,3.40120560927008,5.26883348462705e-22,up_in_DH201_stem,278502.517259853,0.345572912778292,9.84222282332694,7.40562419367919e-23,"~ group",2,3_per_group,99,87,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
