source,target,interaction_type,score,inhibition_type
Egr-miR156e,Eucgr.K02708,miRNA-target,1.0,Cleavage
Egr-miR156e,Eucgr.K02708,miRNA-target,1.0,Cleavage
Egr-miR156e,Eucgr.A02441,miRNA-target,1.0,Cleavage
Egr-miR156e,Eucgr.K01828,miRNA-target,1.0,Cleavage
Egr-miR156e,Eucgr.B00631,miRNA-target,1.0,Cleavage
Egr-miR156e,Eucgr.K02545,miRNA-target,1.0,Cleavage
Egr-miR156e,Eucgr.B03500,miRNA-target,1.0,Cleavage
Egr-miR156e,Eucgr.K02545,miRNA-target,1.0,Cleavage
Egr-miR156f,Eucgr.E03260,miRNA-target,1.0,Cleavage
Egr-miR156f,Eucgr.B03518,miRNA-target,1.0,Cleavage
Egr-miR156f,Eucgr.K01046,miRNA-target,1.0,Cleavage
Egr-miR156f,Eucgr.K01046,miRNA-target,1.0,Cleavage
Egr-miR156f,Eucgr.K01046,miRNA-target,1.0,Cleavage
Egr-miR156f,Eucgr.F03303,miRNA-target,1.0,Cleavage
Egr-miR156f,Eucgr.K02708,miRNA-target,1.0,Cleavage
Egr-miR156f,Eucgr.D02505,miRNA-target,1.0,Cleavage
Egr-miR156f,Eucgr.K02708,miRNA-target,1.0,Cleavage
Egr-miR156f,Eucgr.K02708,miRNA-target,1.0,Cleavage
Egr-miR156f,Eucgr.A02441,miRNA-target,1.0,Cleavage
Egr-miR156f,Eucgr.K01828,miRNA-target,1.0,Cleavage
Egr-miR156f,Eucgr.B00631,miRNA-target,1.0,Cleavage
Egr-miR156f,Eucgr.K02545,miRNA-target,1.0,Cleavage
Egr-miR156f,Eucgr.B03500,miRNA-target,1.0,Cleavage
Egr-miR156f,Eucgr.K02545,miRNA-target,1.0,Cleavage
Egr-miR156h,Eucgr.E03260,miRNA-target,1.0,Cleavage
Egr-miR156h,Eucgr.B03518,miRNA-target,1.0,Cleavage
Egr-miR156h,Eucgr.K01046,miRNA-target,1.0,Cleavage
Egr-miR156h,Eucgr.K01046,miRNA-target,1.0,Cleavage
Egr-miR156h,Eucgr.K01046,miRNA-target,1.0,Cleavage
Egr-miR156h,Eucgr.F03303,miRNA-target,1.0,Cleavage
Egr-miR156h,Eucgr.K02708,miRNA-target,1.0,Cleavage
Egr-miR156h,Eucgr.D02505,miRNA-target,1.0,Cleavage
Egr-miR156h,Eucgr.K02708,miRNA-target,1.0,Cleavage
Egr-miR156h,Eucgr.K02708,miRNA-target,1.0,Cleavage
Egr-miR156h,Eucgr.A02441,miRNA-target,1.0,Cleavage
Egr-miR156h,Eucgr.K01828,miRNA-target,1.0,Cleavage
Egr-miR156h,Eucgr.B00631,miRNA-target,1.0,Cleavage
Egr-miR156h,Eucgr.K02545,miRNA-target,1.0,Cleavage
Egr-miR156h,Eucgr.B03500,miRNA-target,1.0,Cleavage
Egr-miR156h,Eucgr.K02545,miRNA-target,1.0,Cleavage
Egr-miR156i,Eucgr.E03260,miRNA-target,1.0,Cleavage
Egr-miR156i,Eucgr.B03518,miRNA-target,1.0,Cleavage
Egr-miR156i,Eucgr.K01046,miRNA-target,1.0,Cleavage
Egr-miR156i,Eucgr.K01046,miRNA-target,1.0,Cleavage
Egr-miR156i,Eucgr.K01046,miRNA-target,1.0,Cleavage
Egr-miR156i,Eucgr.F03303,miRNA-target,1.0,Cleavage
Egr-miR156i,Eucgr.K02708,miRNA-target,1.0,Cleavage
Egr-miR156i,Eucgr.D02505,miRNA-target,1.0,Cleavage
Egr-miR156i,Eucgr.K02708,miRNA-target,1.0,Cleavage
Egr-miR156i,Eucgr.K02708,miRNA-target,1.0,Cleavage
Egr-miR156i,Eucgr.A02441,miRNA-target,1.0,Cleavage
Egr-miR156i,Eucgr.K01828,miRNA-target,1.0,Cleavage
Egr-miR156i,Eucgr.B00631,miRNA-target,1.0,Cleavage
Egr-miR156i,Eucgr.K02545,miRNA-target,1.0,Cleavage
Egr-miR156i,Eucgr.B03500,miRNA-target,1.0,Cleavage
Egr-miR156i,Eucgr.K02545,miRNA-target,1.0,Cleavage
Egr-miR156j,Eucgr.E03260,miRNA-target,1.0,Cleavage
Egr-miR156j,Eucgr.B03518,miRNA-target,1.0,Cleavage
Egr-miR156j,Eucgr.K01046,miRNA-target,1.0,Cleavage
Egr-miR156j,Eucgr.K01046,miRNA-target,1.0,Cleavage
Egr-miR156j,Eucgr.K01046,miRNA-target,1.0,Cleavage
Egr-miR156j,Eucgr.F03303,miRNA-target,1.0,Cleavage
Egr-miR156j,Eucgr.K02708,miRNA-target,1.0,Cleavage
Egr-miR156j,Eucgr.D02505,miRNA-target,1.0,Cleavage
Egr-miR156j,Eucgr.K02708,miRNA-target,1.0,Cleavage
Egr-miR156j,Eucgr.K02708,miRNA-target,1.0,Cleavage
Egr-miR156j,Eucgr.A02441,miRNA-target,1.0,Cleavage
Egr-miR156j,Eucgr.K01828,miRNA-target,1.0,Cleavage
Egr-miR156j,Eucgr.B00631,miRNA-target,1.0,Cleavage
Egr-miR156j,Eucgr.K02545,miRNA-target,1.0,Cleavage
Egr-miR156j,Eucgr.B03500,miRNA-target,1.0,Cleavage
Egr-miR156j,Eucgr.K02545,miRNA-target,1.0,Cleavage
Egr-miR156o,Eucgr.K02708,miRNA-target,1.0,Cleavage
Egr-miR156o,Eucgr.D02505,miRNA-target,1.0,Cleavage
Egr-miR156o,Eucgr.K02708,miRNA-target,1.0,Cleavage
Egr-miR156o,Eucgr.K02708,miRNA-target,1.0,Cleavage
Egr-miR156o,Eucgr.A02441,miRNA-target,1.0,Cleavage
Egr-miR156o,Eucgr.K01828,miRNA-target,1.0,Cleavage
Egr-miR156o,Eucgr.B03518,miRNA-target,1.0,Cleavage
Egr-miR156o,Eucgr.B00631,miRNA-target,1.0,Cleavage
Egr-miR156o,Eucgr.K02545,miRNA-target,1.0,Cleavage
Egr-miR156o,Eucgr.B03500,miRNA-target,1.0,Cleavage
Egr-miR156o,Eucgr.K02545,miRNA-target,1.0,Cleavage
Egr-miR156o,Eucgr.E03260,miRNA-target,1.0,Cleavage
Egr-miR156o,Eucgr.K01046,miRNA-target,1.0,Cleavage
Egr-miR156o,Eucgr.K01046,miRNA-target,1.0,Cleavage
Egr-miR156o,Eucgr.K01046,miRNA-target,1.0,Cleavage
Egr-miR156o,Eucgr.F03303,miRNA-target,1.0,Cleavage
Egr-miR164a,Eucgr.F01170,miRNA-target,1.0,Cleavage
Egr-miR164a,Eucgr.F01449,miRNA-target,1.0,Cleavage
Egr-miR165b,Eucgr.D00184,miRNA-target,1.0,Cleavage
Egr-miR165b,Eucgr.C00605,miRNA-target,1.0,Cleavage
Egr-miR165b,Eucgr.D00184,miRNA-target,1.0,Cleavage
Egr-miR165b,Eucgr.D00184,miRNA-target,1.0,Cleavage
Egr-miR165b,Eucgr.D00184,miRNA-target,1.0,Cleavage
Egr-miR165b,Eucgr.D00184,miRNA-target,1.0,Cleavage
Egr-miR165b,Eucgr.D00184,miRNA-target,1.0,Cleavage
Egr-miR165b,Eucgr.D00184,miRNA-target,1.0,Cleavage
Egr-miR165b,Eucgr.B02504,miRNA-target,1.0,Cleavage
Egr-miR165e,Eucgr.D00184,miRNA-target,1.0,Cleavage
Egr-miR165e,Eucgr.C00605,miRNA-target,1.0,Cleavage
Egr-miR165e,Eucgr.D00184,miRNA-target,1.0,Cleavage
Egr-miR165e,Eucgr.D00184,miRNA-target,1.0,Cleavage
Egr-miR165e,Eucgr.D00184,miRNA-target,1.0,Cleavage
Egr-miR165e,Eucgr.D00184,miRNA-target,1.0,Cleavage
Egr-miR165e,Eucgr.D00184,miRNA-target,1.0,Cleavage
Egr-miR165e,Eucgr.D00184,miRNA-target,1.0,Cleavage
Egr-miR165e,Eucgr.B02504,miRNA-target,1.0,Cleavage
Egr-miR165f,Eucgr.D00184,miRNA-target,1.0,Cleavage
Egr-miR165f,Eucgr.C00605,miRNA-target,1.0,Cleavage
Egr-miR165f,Eucgr.D00184,miRNA-target,1.0,Cleavage
Egr-miR165f,Eucgr.D00184,miRNA-target,1.0,Cleavage
Egr-miR165f,Eucgr.D00184,miRNA-target,1.0,Cleavage
Egr-miR165f,Eucgr.D00184,miRNA-target,1.0,Cleavage
Egr-miR165f,Eucgr.D00184,miRNA-target,1.0,Cleavage
Egr-miR165f,Eucgr.D00184,miRNA-target,1.0,Cleavage
Egr-miR165f,Eucgr.B02504,miRNA-target,1.0,Cleavage
Egr-miR482b,Eucgr.H01023,miRNA-target,1.0,Cleavage
Egr-miR482b,Eucgr.H01018,miRNA-target,1.0,Cleavage
scaffold_368_47485,Eucgr.H02376,miRNA-target,1.0,Cleavage
Chr01_1229,Eucgr.E01510,miRNA-target,1.5,Cleavage
Chr01_1229,Eucgr.E01509,miRNA-target,1.5,Cleavage
Chr01_1229,Eucgr.E01510,miRNA-target,1.5,Cleavage
Chr02_5754,Eucgr.I00181,miRNA-target,1.5,Cleavage
Chr05_23099,Eucgr.E00524,miRNA-target,1.5,Cleavage
Chr05_23099,Eucgr.D00620,miRNA-target,1.5,Cleavage
Chr05_23099,Eucgr.D00620,miRNA-target,1.5,Cleavage
Chr05_23099,Eucgr.D00620,miRNA-target,1.5,Cleavage
Chr06_22113,Eucgr.A00510,miRNA-target,1.5,Cleavage
Chr06_24996,Eucgr.K02752,miRNA-target,1.5,Cleavage
Chr06_24996,Eucgr.H04688,miRNA-target,1.5,Cleavage
Chr07_30134,Eucgr.H04816,miRNA-target,1.5,Cleavage
Chr08_30632,Eucgr.L01260,miRNA-target,1.5,Cleavage
Chr08_30632,Eucgr.G02857,miRNA-target,1.5,Cleavage
Chr08_30632,Eucgr.G02857,miRNA-target,1.5,Cleavage
Chr08_31426,Eucgr.H02376,miRNA-target,1.5,Cleavage
Chr08_31426,Eucgr.E01990,miRNA-target,1.5,Cleavage
Chr08_31426,Eucgr.E01983,miRNA-target,1.5,Cleavage
Chr08_31426,Eucgr.B02181,miRNA-target,1.5,Cleavage
Chr08_31426,Eucgr.E01994,miRNA-target,1.5,Cleavage
Chr08_31426,Eucgr.L03438,miRNA-target,1.5,Cleavage
Chr08_34494,Eucgr.H03707,miRNA-target,1.5,Cleavage
Chr08_34494,Eucgr.H03694,miRNA-target,1.5,Cleavage
Chr10_40549,Eucgr.B00529,miRNA-target,1.5,Cleavage
Chr11_41982,Eucgr.I00181,miRNA-target,1.5,Cleavage
Egr-miR156d,Eucgr.F02583,miRNA-target,1.5,Translation
Egr-miR156e,Eucgr.F02583,miRNA-target,1.5,Translation
Egr-miR156f,Eucgr.F02583,miRNA-target,1.5,Translation
Egr-miR156h,Eucgr.F02583,miRNA-target,1.5,Translation
Egr-miR156i,Eucgr.F02583,miRNA-target,1.5,Translation
Egr-miR156j,Eucgr.F02583,miRNA-target,1.5,Translation
Egr-miR156l,Eucgr.E03260,miRNA-target,1.5,Cleavage
Egr-miR156l,Eucgr.A02441,miRNA-target,1.5,Cleavage
Egr-miR156l,Eucgr.K01828,miRNA-target,1.5,Cleavage
Egr-miR156l,Eucgr.B03500,miRNA-target,1.5,Cleavage
Egr-miR156m,Eucgr.E03260,miRNA-target,1.5,Cleavage
Egr-miR156m,Eucgr.A02441,miRNA-target,1.5,Cleavage
Egr-miR156m,Eucgr.K01828,miRNA-target,1.5,Cleavage
Egr-miR156m,Eucgr.B03500,miRNA-target,1.5,Cleavage
Egr-miR156n,Eucgr.E03260,miRNA-target,1.5,Cleavage
Egr-miR156n,Eucgr.A02441,miRNA-target,1.5,Cleavage
Egr-miR156n,Eucgr.K01828,miRNA-target,1.5,Cleavage
Egr-miR156n,Eucgr.B03500,miRNA-target,1.5,Cleavage
Egr-miR156o,Eucgr.F02583,miRNA-target,1.5,Translation
Egr-miR482a,Eucgr.D02231,miRNA-target,1.5,Cleavage
Egr-miR482b,Eucgr.H03699,miRNA-target,1.5,Cleavage
Egr-miR482b,Eucgr.H03699,miRNA-target,1.5,Cleavage
Egr-miR482b,Eucgr.E02004,miRNA-target,1.5,Cleavage
Egr-miR482b,Eucgr.H03723,miRNA-target,1.5,Cleavage
Egr-miR482b,Eucgr.C00409,miRNA-target,1.5,Cleavage
Egr-miR482b,Eucgr.H01030,miRNA-target,1.5,Cleavage
Egr-miR482b,Eucgr.L02915,miRNA-target,1.5,Cleavage
Chr01_1685,Eucgr.H02369,miRNA-target,2.0,Cleavage
Chr01_1685,Eucgr.J02056,miRNA-target,2.0,Cleavage
Chr02_5696,Eucgr.H04688,miRNA-target,2.0,Cleavage
Chr02_5754,Eucgr.K00738,miRNA-target,2.0,Cleavage
Chr03_12134,Eucgr.I02024,miRNA-target,2.0,Cleavage
Chr03_12234,Eucgr.F03169,miRNA-target,2.0,Cleavage
Chr03_12234,Eucgr.F03169,miRNA-target,2.0,Cleavage
Chr03_12234,Eucgr.F03169,miRNA-target,2.0,Cleavage
Chr03_12234,Eucgr.K01921,miRNA-target,2.0,Cleavage
Chr03_12234,Eucgr.C00842,miRNA-target,2.0,Cleavage
Chr03_14086,Eucgr.F03169,miRNA-target,2.0,Cleavage
Chr03_14086,Eucgr.F03169,miRNA-target,2.0,Cleavage
Chr03_14086,Eucgr.F03169,miRNA-target,2.0,Cleavage
Chr03_14086,Eucgr.K01921,miRNA-target,2.0,Cleavage
Chr03_14086,Eucgr.C00842,miRNA-target,2.0,Cleavage
Chr03_9415,Eucgr.F03769,miRNA-target,2.0,Cleavage
Chr03_9415,Eucgr.L03490,miRNA-target,2.0,Cleavage
Chr03_9415,Eucgr.B00601,miRNA-target,2.0,Cleavage
Chr03_9415,Eucgr.B00599,miRNA-target,2.0,Cleavage
Chr05_19934,Eucgr.D01673,miRNA-target,2.0,Cleavage
Chr05_19934,Eucgr.K01120,miRNA-target,2.0,Cleavage
Chr06_22113,Eucgr.E02473,miRNA-target,2.0,Cleavage
Chr07_27100,Eucgr.J02821,miRNA-target,2.0,Cleavage
Chr07_27100,Eucgr.J02821,miRNA-target,2.0,Cleavage
Chr07_27100,Eucgr.J02821,miRNA-target,2.0,Cleavage
Chr07_27268,Eucgr.B03840,miRNA-target,2.0,Cleavage
Chr07_27268,Eucgr.H04620,miRNA-target,2.0,Cleavage
Chr07_27268,Eucgr.H04620,miRNA-target,2.0,Cleavage
Chr07_27268,Eucgr.C00285,miRNA-target,2.0,Cleavage
Chr07_27268,Eucgr.C00285,miRNA-target,2.0,Cleavage
Chr08_30829,Eucgr.C00608,miRNA-target,2.0,Cleavage
Chr08_30829,Eucgr.C00608,miRNA-target,2.0,Cleavage
Chr08_30829,Eucgr.C00608,miRNA-target,2.0,Cleavage
Chr08_30829,Eucgr.C00608,miRNA-target,2.0,Cleavage
Chr08_31426,Eucgr.C02551,miRNA-target,2.0,Cleavage
Chr08_31426,Eucgr.H02362,miRNA-target,2.0,Cleavage
Chr08_31426,Eucgr.E01998,miRNA-target,2.0,Cleavage
Chr08_31426,Eucgr.H02359,miRNA-target,2.0,Cleavage
Chr08_31426,Eucgr.B02960,miRNA-target,2.0,Cleavage
Chr08_31426,Eucgr.C02630,miRNA-target,2.0,Cleavage
Chr08_31426,Eucgr.F04311,miRNA-target,2.0,Cleavage
Chr08_31426,Eucgr.G02696,miRNA-target,2.0,Cleavage
Chr08_31426,Eucgr.G02696,miRNA-target,2.0,Cleavage
Chr08_31426,Eucgr.G02696,miRNA-target,2.0,Cleavage
Chr08_34494,Eucgr.H03679,miRNA-target,2.0,Cleavage
Chr08_34494,Eucgr.L02348,miRNA-target,2.0,Cleavage
Chr08_34494,Eucgr.G03151,miRNA-target,2.0,Cleavage
Chr08_34494,Eucgr.G01972,miRNA-target,2.0,Cleavage
Chr08_34494,Eucgr.H04640,miRNA-target,2.0,Cleavage
Chr08_34494,Eucgr.H04640,miRNA-target,2.0,Cleavage
Chr08_34494,Eucgr.H04640,miRNA-target,2.0,Cleavage
Chr08_34494,Eucgr.H04640,miRNA-target,2.0,Cleavage
Chr08_34494,Eucgr.G02447,miRNA-target,2.0,Cleavage
Chr08_35572,Eucgr.F01437,miRNA-target,2.0,Cleavage
Chr08_35572,Eucgr.F01437,miRNA-target,2.0,Cleavage
Chr09_37979,Eucgr.I02250,miRNA-target,2.0,Cleavage
Chr10_40549,Eucgr.F01170,miRNA-target,2.0,Cleavage
Chr10_40549,Eucgr.F02958,miRNA-target,2.0,Cleavage
Chr11_41982,Eucgr.K00738,miRNA-target,2.0,Cleavage
Chr11_42092,Eucgr.A01782,miRNA-target,2.0,Cleavage
Egr-miR156a,Eucgr.K02708,miRNA-target,2.0,Cleavage
Egr-miR156a,Eucgr.D02505,miRNA-target,2.0,Cleavage
Egr-miR156a,Eucgr.K02708,miRNA-target,2.0,Cleavage
Egr-miR156a,Eucgr.K02708,miRNA-target,2.0,Cleavage
Egr-miR156a,Eucgr.B03518,miRNA-target,2.0,Cleavage
Egr-miR156a,Eucgr.B00631,miRNA-target,2.0,Cleavage
Egr-miR156a,Eucgr.K02545,miRNA-target,2.0,Cleavage
Egr-miR156a,Eucgr.K02545,miRNA-target,2.0,Cleavage
Egr-miR156a,Eucgr.K01046,miRNA-target,2.0,Cleavage
Egr-miR156a,Eucgr.K01046,miRNA-target,2.0,Cleavage
Egr-miR156a,Eucgr.K01046,miRNA-target,2.0,Cleavage
Egr-miR156a,Eucgr.F03303,miRNA-target,2.0,Cleavage
Egr-miR156a,Eucgr.F01108,miRNA-target,2.0,Cleavage
Egr-miR156b,Eucgr.K02708,miRNA-target,2.0,Cleavage
Egr-miR156b,Eucgr.D02505,miRNA-target,2.0,Cleavage
Egr-miR156b,Eucgr.K02708,miRNA-target,2.0,Cleavage
Egr-miR156b,Eucgr.K02708,miRNA-target,2.0,Cleavage
Egr-miR156b,Eucgr.B03518,miRNA-target,2.0,Cleavage
Egr-miR156b,Eucgr.B00631,miRNA-target,2.0,Cleavage
Egr-miR156b,Eucgr.K02545,miRNA-target,2.0,Cleavage
Egr-miR156b,Eucgr.K02545,miRNA-target,2.0,Cleavage
Egr-miR156b,Eucgr.K01046,miRNA-target,2.0,Cleavage
Egr-miR156b,Eucgr.K01046,miRNA-target,2.0,Cleavage
Egr-miR156b,Eucgr.K01046,miRNA-target,2.0,Cleavage
Egr-miR156b,Eucgr.F03303,miRNA-target,2.0,Cleavage
Egr-miR156b,Eucgr.F01108,miRNA-target,2.0,Cleavage
Egr-miR156d,Eucgr.F01108,miRNA-target,2.0,Cleavage
Egr-miR156d,Eucgr.K00131,miRNA-target,2.0,Cleavage
Egr-miR156e,Eucgr.F01108,miRNA-target,2.0,Cleavage
Egr-miR156e,Eucgr.K00131,miRNA-target,2.0,Cleavage
Egr-miR156f,Eucgr.F01108,miRNA-target,2.0,Cleavage
Egr-miR156f,Eucgr.K00131,miRNA-target,2.0,Cleavage
Egr-miR156h,Eucgr.F01108,miRNA-target,2.0,Cleavage
Egr-miR156h,Eucgr.K00131,miRNA-target,2.0,Cleavage
Egr-miR156i,Eucgr.F01108,miRNA-target,2.0,Cleavage
Egr-miR156i,Eucgr.K00131,miRNA-target,2.0,Cleavage
Egr-miR156j,Eucgr.F01108,miRNA-target,2.0,Cleavage
Egr-miR156j,Eucgr.K00131,miRNA-target,2.0,Cleavage
Egr-miR156l,Eucgr.I00195,miRNA-target,2.0,Cleavage
Egr-miR156m,Eucgr.I00195,miRNA-target,2.0,Cleavage
Egr-miR156n,Eucgr.I00195,miRNA-target,2.0,Cleavage
Egr-miR156o,Eucgr.F01108,miRNA-target,2.0,Cleavage
Egr-miR156o,Eucgr.K00131,miRNA-target,2.0,Cleavage
Egr-miR164a,Eucgr.F02958,miRNA-target,2.0,Cleavage
Egr-miR164a,Eucgr.J00040,miRNA-target,2.0,Cleavage
Egr-miR164a,Eucgr.J00040,miRNA-target,2.0,Cleavage
Egr-miR164a,Eucgr.J00040,miRNA-target,2.0,Cleavage
Egr-miR164a,Eucgr.J00040,miRNA-target,2.0,Cleavage
Egr-miR164a,Eucgr.J00040,miRNA-target,2.0,Cleavage
Egr-miR164a,Eucgr.J00040,miRNA-target,2.0,Cleavage
Egr-miR165b,Eucgr.B02603,miRNA-target,2.0,Cleavage
Egr-miR165e,Eucgr.B02603,miRNA-target,2.0,Cleavage
Egr-miR165f,Eucgr.B02603,miRNA-target,2.0,Cleavage
Egr-miR396a,Eucgr.F02120,miRNA-target,2.0,Cleavage
Egr-miR396c,Eucgr.F02120,miRNA-target,2.0,Cleavage
Egr-miR482a,Eucgr.J00987,miRNA-target,2.0,Cleavage
Egr-miR482b,Eucgr.L00696,miRNA-target,2.0,Translation
Egr-miR482b,Eucgr.C02567,miRNA-target,2.0,Translation
Egr-miR482b,Eucgr.F00908,miRNA-target,2.0,Cleavage
Egr-miR482b,Eucgr.L01860,miRNA-target,2.0,Cleavage
Egr-miR482b,Eucgr.L01111,miRNA-target,2.0,Cleavage
Egr-miR482b,Eucgr.F00923,miRNA-target,2.0,Cleavage
Egr-miR482b,Eucgr.F00937,miRNA-target,2.0,Cleavage
Egr-miR482b,Eucgr.B01071,miRNA-target,2.0,Cleavage
Egr-miR482b,Eucgr.F00954,miRNA-target,2.0,Cleavage
Egr-miR482b,Eucgr.A00735,miRNA-target,2.0,Cleavage
Egr-miR482b,Eucgr.F00914,miRNA-target,2.0,Cleavage
Egr-miR482b,Eucgr.F00542,miRNA-target,2.0,Cleavage
Egr-miR482b,Eucgr.F00556,miRNA-target,2.0,Cleavage
Egr-miR482b,Eucgr.F02533,miRNA-target,2.0,Cleavage
Egr-miR482b,Eucgr.K01937,miRNA-target,2.0,Cleavage
Egr-miR482b,Eucgr.F03887,miRNA-target,2.0,Cleavage
Egr-miR482b,Eucgr.F00904,miRNA-target,2.0,Cleavage
Egr-miR482b,Eucgr.G03265,miRNA-target,2.0,Translation
Egr-miR482b,Eucgr.F00956,miRNA-target,2.0,Cleavage
Egr-miR482b,Eucgr.F00956,miRNA-target,2.0,Cleavage
Egr-miR482b,Eucgr.F00886,miRNA-target,2.0,Cleavage
Egr-miRN5654,Eucgr.F02641,miRNA-target,2.0,Cleavage
Egr-miRN5668,Eucgr.B01458,miRNA-target,2.0,Cleavage
Egr-miRN5674,Eucgr.G01551,miRNA-target,2.0,Cleavage
Egr-miRN5674,Eucgr.G01060,miRNA-target,2.0,Cleavage
scaffold_368_47485,Eucgr.H02369,miRNA-target,2.0,Cleavage
