mirna_core_accession,mirna_id,srr_accession,study_id,tissue,genotype,condition,replicate,raw_count,cpm
5,Chr01_1896,SRR14138141,3,stem,,tension_wood,1,1610.0,325.1624
5,Chr01_1896,SRR14138142,3,stem,,opposite_wood,1,2669.0,567.8369
5,Chr01_1896,SRR14138143,3,stem,,unbent_control,1,9502.0,1690.8138
5,Chr01_1896,SRR14138144,3,stem,,tension_wood,2,22719.0,4170.7774
5,Chr01_1896,SRR14138145,3,stem,,opposite_wood,2,1487.0,400.7988
5,Chr01_1896,SRR14138146,3,stem,,unbent_control,2,23775.0,5275.2247
5,Chr01_1896,SRR5433935,4,leaves,,,1,9522.0,661.2108
5,Chr01_1896,SRR5433936,4,stem,,,1,6644.0,294.71
6,Chr01_2889,SRR11749594,1,callus,GL9,,1,341.0,25.1137
6,Chr01_2889,SRR11749595,1,stem,GL9,,3,209.0,13.0026
6,Chr01_2889,SRR11749596,1,stem,GL9,,2,225.0,13.8338
6,Chr01_2889,SRR11749597,1,stem,GL9,,1,102.0,7.5081
6,Chr01_2889,SRR11749598,1,callus,DH201-2,,3,92.0,7.3053
6,Chr01_2889,SRR11749599,1,callus,DH201-2,,2,155.0,11.6505
6,Chr01_2889,SRR11749600,1,callus,DH201-2,,1,42.0,3.2571
6,Chr01_2889,SRR11749601,1,stem,DH201-2,,3,113.0,7.4683
6,Chr01_2889,SRR11749602,1,callus,GL9,,3,333.0,22.9778
6,Chr01_2889,SRR11749603,1,callus,GL9,,2,353.0,28.3878
6,Chr01_2889,SRR11749604,1,stem,DH201-2,,2,115.0,7.7784
6,Chr01_2889,SRR11749605,1,stem,DH201-2,,1,98.0,6.0513
6,Chr01_2889,SRR14138141,3,stem,,tension_wood,1,24.0,4.8471
6,Chr01_2889,SRR14138142,3,stem,,opposite_wood,1,28.0,5.9571
6,Chr01_2889,SRR14138143,3,stem,,unbent_control,1,5.0,0.8897
6,Chr01_2889,SRR14138144,3,stem,,tension_wood,2,29.0,5.3238
6,Chr01_2889,SRR14138145,3,stem,,opposite_wood,2,7.0,1.8867
6,Chr01_2889,SRR14138146,3,stem,,unbent_control,2,38.0,8.4315
6,Chr01_2889,SRR5433935,4,leaves,,,1,41.0,2.8471
6,Chr01_2889,SRR5433936,4,stem,,,1,1529.0,67.8223
7,Chr01_2891,SRR11749594,1,callus,GL9,,1,341.0,25.1137
7,Chr01_2891,SRR11749595,1,stem,GL9,,3,209.0,13.0026
7,Chr01_2891,SRR11749596,1,stem,GL9,,2,225.0,13.8338
7,Chr01_2891,SRR11749597,1,stem,GL9,,1,102.0,7.5081
7,Chr01_2891,SRR11749598,1,callus,DH201-2,,3,92.0,7.3053
7,Chr01_2891,SRR11749599,1,callus,DH201-2,,2,155.0,11.6505
7,Chr01_2891,SRR11749600,1,callus,DH201-2,,1,42.0,3.2571
7,Chr01_2891,SRR11749601,1,stem,DH201-2,,3,113.0,7.4683
7,Chr01_2891,SRR11749602,1,callus,GL9,,3,333.0,22.9778
7,Chr01_2891,SRR11749603,1,callus,GL9,,2,353.0,28.3878
7,Chr01_2891,SRR11749604,1,stem,DH201-2,,2,115.0,7.7784
7,Chr01_2891,SRR11749605,1,stem,DH201-2,,1,98.0,6.0513
7,Chr01_2891,SRR14138141,3,stem,,tension_wood,1,24.0,4.8471
7,Chr01_2891,SRR14138142,3,stem,,opposite_wood,1,28.0,5.9571
7,Chr01_2891,SRR14138143,3,stem,,unbent_control,1,5.0,0.8897
7,Chr01_2891,SRR14138144,3,stem,,tension_wood,2,29.0,5.3238
7,Chr01_2891,SRR14138145,3,stem,,opposite_wood,2,7.0,1.8867
7,Chr01_2891,SRR14138146,3,stem,,unbent_control,2,38.0,8.4315
7,Chr01_2891,SRR5433935,4,leaves,,,1,41.0,2.8471
7,Chr01_2891,SRR5433936,4,stem,,,1,1529.0,67.8223
1,Chr01_850,SRR11749594,1,callus,GL9,,1,16074.0,1183.8049
1,Chr01_850,SRR11749595,1,stem,GL9,,3,586.0,36.4571
1,Chr01_850,SRR11749596,1,stem,GL9,,2,720.0,44.2682
1,Chr01_850,SRR11749597,1,stem,GL9,,1,584.0,42.9877
1,Chr01_850,SRR11749598,1,callus,DH201-2,,3,56361.0,4475.3983
1,Chr01_850,SRR11749599,1,callus,DH201-2,,2,73738.0,5542.4911
1,Chr01_850,SRR11749600,1,callus,DH201-2,,1,100774.0,7814.9064
1,Chr01_850,SRR11749601,1,stem,DH201-2,,3,28912.0,1910.8283
1,Chr01_850,SRR11749602,1,callus,GL9,,3,16257.0,1121.7734
1,Chr01_850,SRR11749603,1,callus,GL9,,2,17423.0,1401.1362
1,Chr01_850,SRR11749604,1,stem,DH201-2,,2,31882.0,2156.4406
1,Chr01_850,SRR11749605,1,stem,DH201-2,,1,31758.0,1960.9997
1,Chr01_850,SRR14138141,3,stem,,tension_wood,1,2.0,0.4039
1,Chr01_850,SRR14138142,3,stem,,opposite_wood,1,5.0,1.0638
1,Chr01_850,SRR14138143,3,stem,,unbent_control,1,9.0,1.6015
1,Chr01_850,SRR14138144,3,stem,,tension_wood,2,9.0,1.6522
1,Chr01_850,SRR14138145,3,stem,,opposite_wood,2,2.0,0.5391
1,Chr01_850,SRR14138146,3,stem,,unbent_control,2,24.0,5.3251
1,Chr01_850,SRR5433935,4,leaves,,,1,3464.0,240.5413
1,Chr01_850,SRR5433936,4,stem,,,1,1635.0,72.5242
8,Chr02_5696,SRR11749594,1,callus,GL9,,1,1.0,0.0736
8,Chr02_5696,SRR11749595,1,stem,GL9,,3,256.0,15.9267
8,Chr02_5696,SRR11749596,1,stem,GL9,,2,280.0,17.2154
8,Chr02_5696,SRR11749597,1,stem,GL9,,1,272.0,20.0217
8,Chr02_5696,SRR11749598,1,callus,DH201-2,,3,4.0,0.3176
8,Chr02_5696,SRR11749599,1,callus,DH201-2,,2,5.0,0.3758
8,Chr02_5696,SRR11749600,1,callus,DH201-2,,1,4.0,0.3102
8,Chr02_5696,SRR11749601,1,stem,DH201-2,,3,101.0,6.6752
8,Chr02_5696,SRR11749602,1,callus,GL9,,3,2.0,0.138
8,Chr02_5696,SRR11749603,1,callus,GL9,,2,1.0,0.0804
8,Chr02_5696,SRR11749604,1,stem,DH201-2,,2,111.0,7.5078
8,Chr02_5696,SRR11749605,1,stem,DH201-2,,1,107.0,6.6071
8,Chr02_5696,SRR14138146,3,stem,,unbent_control,2,1.0,0.2219
8,Chr02_5696,SRR5433935,4,leaves,,,1,2.0,0.1389
8,Chr02_5696,SRR5433936,4,stem,,,1,6.0,0.2661
9,Chr02_5754,SRR11749594,1,callus,GL9,,1,37934.0,2793.7324
9,Chr02_5754,SRR11749595,1,stem,GL9,,3,13864.0,862.5277
9,Chr02_5754,SRR11749596,1,stem,GL9,,2,13477.0,828.6143
9,Chr02_5754,SRR11749597,1,stem,GL9,,1,6409.0,471.7609
9,Chr02_5754,SRR11749598,1,callus,DH201-2,,3,24766.0,1966.5676
9,Chr02_5754,SRR11749599,1,callus,DH201-2,,2,41997.0,3156.6899
9,Chr02_5754,SRR11749600,1,callus,DH201-2,,1,6859.0,531.9075
9,Chr02_5754,SRR11749601,1,stem,DH201-2,,3,2617.0,172.9606
9,Chr02_5754,SRR11749602,1,callus,GL9,,3,35662.0,2460.7666
9,Chr02_5754,SRR11749603,1,callus,GL9,,2,29899.0,2404.4408
9,Chr02_5754,SRR11749604,1,stem,DH201-2,,2,2556.0,172.8832
9,Chr02_5754,SRR11749605,1,stem,DH201-2,,1,1857.0,114.6664
9,Chr02_5754,SRR14138141,3,stem,,tension_wood,1,1152.0,232.6628
9,Chr02_5754,SRR14138142,3,stem,,opposite_wood,1,1693.0,360.1903
9,Chr02_5754,SRR14138143,3,stem,,unbent_control,1,960.0,170.8252
9,Chr02_5754,SRR14138144,3,stem,,tension_wood,2,2718.0,498.9732
9,Chr02_5754,SRR14138145,3,stem,,opposite_wood,2,393.0,105.9273
9,Chr02_5754,SRR14138146,3,stem,,unbent_control,2,1758.0,390.0671
9,Chr02_5754,SRR5433935,4,leaves,,,1,1226.0,85.1338
9,Chr02_5754,SRR5433936,4,stem,,,1,1293.0,57.354
10,Chr02_8243,SRR11749594,1,callus,GL9,,1,1.0,0.0736
10,Chr02_8243,SRR11749595,1,stem,GL9,,3,102.0,6.3458
10,Chr02_8243,SRR11749596,1,stem,GL9,,2,134.0,8.2388
10,Chr02_8243,SRR11749597,1,stem,GL9,,1,83.0,6.1096
10,Chr02_8243,SRR11749598,1,callus,DH201-2,,3,7.0,0.5558
10,Chr02_8243,SRR11749599,1,callus,DH201-2,,2,4.0,0.3007
10,Chr02_8243,SRR11749600,1,callus,DH201-2,,1,5.0,0.3877
10,Chr02_8243,SRR11749601,1,stem,DH201-2,,3,118.0,7.7988
10,Chr02_8243,SRR11749602,1,callus,GL9,,3,1.0,0.069
10,Chr02_8243,SRR11749603,1,callus,GL9,,2,2.0,0.1608
10,Chr02_8243,SRR11749604,1,stem,DH201-2,,2,81.0,5.4787
10,Chr02_8243,SRR11749605,1,stem,DH201-2,,1,99.0,6.1131
10,Chr02_8243,SRR14138141,3,stem,,tension_wood,1,1.0,0.202
10,Chr02_8243,SRR14138142,3,stem,,opposite_wood,1,1.0,0.2128
10,Chr02_8243,SRR14138144,3,stem,,tension_wood,2,2.0,0.3672
10,Chr02_8243,SRR14138145,3,stem,,opposite_wood,2,2.0,0.5391
10,Chr02_8243,SRR14138146,3,stem,,unbent_control,2,6.0,1.3313
10,Chr02_8243,SRR5433936,4,stem,,,1,10.0,0.4436
13,Chr03_12134,SRR11749594,1,callus,GL9,,1,1964.0,144.6431
13,Chr03_12134,SRR11749595,1,stem,GL9,,3,259.0,16.1133
13,Chr03_12134,SRR11749596,1,stem,GL9,,2,441.0,27.1143
13,Chr03_12134,SRR11749597,1,stem,GL9,,1,546.0,40.1906
13,Chr03_12134,SRR11749598,1,callus,DH201-2,,3,1321.0,104.8952
13,Chr03_12134,SRR11749599,1,callus,DH201-2,,2,1127.0,84.7106
13,Chr03_12134,SRR11749600,1,callus,DH201-2,,1,964.0,74.7571
13,Chr03_12134,SRR11749601,1,stem,DH201-2,,3,382.0,25.2468
13,Chr03_12134,SRR11749602,1,callus,GL9,,3,1495.0,103.1587
13,Chr03_12134,SRR11749603,1,callus,GL9,,2,1835.0,147.5684
13,Chr03_12134,SRR11749604,1,stem,DH201-2,,2,393.0,26.5818
13,Chr03_12134,SRR11749605,1,stem,DH201-2,,1,256.0,15.8075
13,Chr03_12134,SRR14138141,3,stem,,tension_wood,1,1.0,0.202
13,Chr03_12134,SRR14138142,3,stem,,opposite_wood,1,1.0,0.2128
13,Chr03_12134,SRR14138143,3,stem,,unbent_control,1,2.0,0.3559
13,Chr03_12134,SRR14138144,3,stem,,tension_wood,2,4.0,0.7343
13,Chr03_12134,SRR14138146,3,stem,,unbent_control,2,2.0,0.4438
13,Chr03_12134,SRR5433935,4,leaves,,,1,3062.0,212.6263
13,Chr03_12134,SRR5433936,4,stem,,,1,384.0,17.0332
12,Chr03_12234,SRR11749594,1,callus,GL9,,1,34907.0,2570.8024
12,Chr03_12234,SRR11749595,1,stem,GL9,,3,1664.0,103.5232
12,Chr03_12234,SRR11749596,1,stem,GL9,,2,3782.0,232.5309
12,Chr03_12234,SRR11749597,1,stem,GL9,,1,2289.0,168.4913
12,Chr03_12234,SRR11749598,1,callus,DH201-2,,3,24914.0,1978.3196
12,Chr03_12234,SRR11749599,1,callus,DH201-2,,2,26929.0,2024.1089
12,Chr03_12234,SRR11749600,1,callus,DH201-2,,1,21370.0,1657.2186
12,Chr03_12234,SRR11749601,1,stem,DH201-2,,3,2537.0,167.6733
12,Chr03_12234,SRR11749602,1,callus,GL9,,3,28281.0,1951.4592
12,Chr03_12234,SRR11749603,1,callus,GL9,,2,27547.0,2215.2958
12,Chr03_12234,SRR11749604,1,stem,DH201-2,,2,1223.0,82.7215
12,Chr03_12234,SRR11749605,1,stem,DH201-2,,1,1486.0,91.7578
12,Chr03_12234,SRR14138141,3,stem,,tension_wood,1,5.0,1.0098
12,Chr03_12234,SRR14138142,3,stem,,opposite_wood,1,1.0,0.2128
12,Chr03_12234,SRR14138143,3,stem,,unbent_control,1,2.0,0.3559
12,Chr03_12234,SRR14138144,3,stem,,tension_wood,2,12.0,2.203
12,Chr03_12234,SRR14138145,3,stem,,opposite_wood,2,3.0,0.8086
12,Chr03_12234,SRR14138146,3,stem,,unbent_control,2,5.0,1.1094
12,Chr03_12234,SRR5433935,4,leaves,,,1,5.0,0.3472
12,Chr03_12234,SRR5433936,4,stem,,,1,3.0,0.1331
14,Chr03_14086,SRR11749594,1,callus,GL9,,1,34950.0,2573.9692
14,Chr03_14086,SRR11749595,1,stem,GL9,,3,1661.0,103.3366
14,Chr03_14086,SRR11749596,1,stem,GL9,,2,3786.0,232.7768
14,Chr03_14086,SRR11749597,1,stem,GL9,,1,2286.0,168.2704
14,Chr03_14086,SRR11749598,1,callus,DH201-2,,3,25010.0,1985.9426
14,Chr03_14086,SRR11749599,1,callus,DH201-2,,2,27073.0,2034.9326
14,Chr03_14086,SRR11749600,1,callus,DH201-2,,1,21511.0,1668.153
14,Chr03_14086,SRR11749601,1,stem,DH201-2,,3,2558.0,169.0612
14,Chr03_14086,SRR11749602,1,callus,GL9,,3,28296.0,1952.4943
14,Chr03_14086,SRR11749603,1,callus,GL9,,2,27608.0,2220.2014
14,Chr03_14086,SRR11749604,1,stem,DH201-2,,2,1221.0,82.5862
14,Chr03_14086,SRR11749605,1,stem,DH201-2,,1,1477.0,91.2021
14,Chr03_14086,SRR14138142,3,stem,,opposite_wood,1,1.0,0.2128
14,Chr03_14086,SRR14138143,3,stem,,unbent_control,1,1.0,0.1779
14,Chr03_14086,SRR14138144,3,stem,,tension_wood,2,3.0,0.5507
14,Chr03_14086,SRR14138146,3,stem,,unbent_control,2,3.0,0.6656
14,Chr03_14086,SRR5433935,4,leaves,,,1,10.0,0.6944
14,Chr03_14086,SRR5433936,4,stem,,,1,3.0,0.1331
15,Chr03_14181,SRR11749594,1,callus,GL9,,1,82.0,6.0391
15,Chr03_14181,SRR11749595,1,stem,GL9,,3,5.0,0.3111
15,Chr03_14181,SRR11749596,1,stem,GL9,,2,9.0,0.5534
15,Chr03_14181,SRR11749597,1,stem,GL9,,1,28.0,2.0611
15,Chr03_14181,SRR11749598,1,callus,DH201-2,,3,4616.0,366.5378
15,Chr03_14181,SRR11749599,1,callus,DH201-2,,2,2016.0,151.5319
15,Chr03_14181,SRR11749600,1,callus,DH201-2,,1,1370.0,106.2419
15,Chr03_14181,SRR11749601,1,stem,DH201-2,,3,13.0,0.8592
15,Chr03_14181,SRR11749602,1,callus,GL9,,3,937.0,64.6553
15,Chr03_14181,SRR11749603,1,callus,GL9,,2,25.0,2.0105
15,Chr03_14181,SRR11749604,1,stem,DH201-2,,2,21.0,1.4204
15,Chr03_14181,SRR11749605,1,stem,DH201-2,,1,17.0,1.0497
15,Chr03_14181,SRR5433936,4,stem,,,1,3.0,0.1331
11,Chr03_9415,SRR11749594,1,callus,GL9,,1,5005.0,368.6042
11,Chr03_9415,SRR11749595,1,stem,GL9,,3,14395.0,895.5631
11,Chr03_9415,SRR11749596,1,stem,GL9,,2,14130.0,868.763
11,Chr03_9415,SRR11749597,1,stem,GL9,,1,12901.0,949.6313
11,Chr03_9415,SRR11749598,1,callus,DH201-2,,3,3505.0,278.3178
11,Chr03_9415,SRR11749599,1,callus,DH201-2,,2,5034.0,378.3789
11,Chr03_9415,SRR11749600,1,callus,DH201-2,,1,4293.0,332.9172
11,Chr03_9415,SRR11749601,1,stem,DH201-2,,3,2647.0,174.9434
11,Chr03_9415,SRR11749602,1,callus,GL9,,3,5120.0,353.2927
11,Chr03_9415,SRR11749603,1,callus,GL9,,2,2727.0,219.302
11,Chr03_9415,SRR11749604,1,stem,DH201-2,,2,5211.0,352.4626
11,Chr03_9415,SRR11749605,1,stem,DH201-2,,1,3733.0,230.5061
11,Chr03_9415,SRR14138141,3,stem,,tension_wood,1,9.0,1.8177
11,Chr03_9415,SRR14138142,3,stem,,opposite_wood,1,4.0,0.851
11,Chr03_9415,SRR14138143,3,stem,,unbent_control,1,4.0,0.7118
11,Chr03_9415,SRR14138144,3,stem,,tension_wood,2,6.0,1.1015
11,Chr03_9415,SRR14138145,3,stem,,opposite_wood,2,1.0,0.2695
11,Chr03_9415,SRR14138146,3,stem,,unbent_control,2,6.0,1.3313
11,Chr03_9415,SRR5433935,4,leaves,,,1,132.0,9.1661
11,Chr03_9415,SRR5433936,4,stem,,,1,5.0,0.2218
17,Chr05_17624,SRR11749594,1,callus,GL9,,1,306.0,22.536
17,Chr05_17624,SRR11749595,1,stem,GL9,,3,39953.0,2485.6153
17,Chr05_17624,SRR11749596,1,stem,GL9,,2,33957.0,2087.7981
17,Chr05_17624,SRR11749597,1,stem,GL9,,1,58995.0,4342.5701
17,Chr05_17624,SRR11749598,1,callus,DH201-2,,3,8610.0,683.6852
17,Chr05_17624,SRR11749599,1,callus,DH201-2,,2,10725.0,806.1409
17,Chr05_17624,SRR11749600,1,callus,DH201-2,,1,5189.0,402.4009
17,Chr05_17624,SRR11749601,1,stem,DH201-2,,3,41225.0,2724.6091
17,Chr05_17624,SRR11749602,1,callus,GL9,,3,7455.0,514.4135
17,Chr05_17624,SRR11749603,1,callus,GL9,,2,211.0,16.9684
17,Chr05_17624,SRR11749604,1,stem,DH201-2,,2,50060.0,3385.9676
17,Chr05_17624,SRR11749605,1,stem,DH201-2,,1,42905.0,2649.307
17,Chr05_17624,SRR14138141,3,stem,,tension_wood,1,210.0,42.4125
17,Chr05_17624,SRR14138142,3,stem,,opposite_wood,1,170.0,36.168
17,Chr05_17624,SRR14138143,3,stem,,unbent_control,1,223.0,39.6813
17,Chr05_17624,SRR14138144,3,stem,,tension_wood,2,225.0,41.3057
17,Chr05_17624,SRR14138145,3,stem,,opposite_wood,2,174.0,46.8991
17,Chr05_17624,SRR14138146,3,stem,,unbent_control,2,216.0,47.9263
17,Chr05_17624,SRR5433935,4,leaves,,,1,1088.0,75.5511
17,Chr05_17624,SRR5433936,4,stem,,,1,960.0,42.583
16,Chr05_18368,SRR11749594,1,callus,GL9,,1,701.0,51.6267
16,Chr05_18368,SRR11749595,1,stem,GL9,,3,1401.0,87.1611
16,Chr05_18368,SRR11749596,1,stem,GL9,,2,1590.0,97.7589
16,Chr05_18368,SRR11749597,1,stem,GL9,,1,1467.0,107.9846
16,Chr05_18368,SRR11749598,1,callus,DH201-2,,3,233.0,18.5016
16,Chr05_18368,SRR11749599,1,callus,DH201-2,,2,187.0,14.0558
16,Chr05_18368,SRR11749600,1,callus,DH201-2,,1,165.0,12.7956
16,Chr05_18368,SRR11749601,1,stem,DH201-2,,3,571.0,37.7381
16,Chr05_18368,SRR11749602,1,callus,GL9,,3,451.0,31.1201
16,Chr05_18368,SRR11749603,1,callus,GL9,,2,821.0,66.0238
16,Chr05_18368,SRR11749604,1,stem,DH201-2,,2,919.0,62.1595
16,Chr05_18368,SRR11749605,1,stem,DH201-2,,1,618.0,38.1604
16,Chr05_18368,SRR14138144,3,stem,,tension_wood,2,5.0,0.9179
16,Chr05_18368,SRR14138146,3,stem,,unbent_control,2,5.0,1.1094
16,Chr05_18368,SRR5433935,4,leaves,,,1,34.0,2.361
16,Chr05_18368,SRR5433936,4,stem,,,1,66.0,2.9276
23,Chr05_19036,SRR11749594,1,callus,GL9,,1,40.0,2.9459
23,Chr05_19036,SRR11749595,1,stem,GL9,,3,24.0,1.4931
23,Chr05_19036,SRR11749596,1,stem,GL9,,2,28.0,1.7215
23,Chr05_19036,SRR11749597,1,stem,GL9,,1,35.0,2.5763
23,Chr05_19036,SRR11749598,1,callus,DH201-2,,3,138.0,10.958
23,Chr05_19036,SRR11749599,1,callus,DH201-2,,2,121.0,9.0949
23,Chr05_19036,SRR11749600,1,callus,DH201-2,,1,122.0,9.461
23,Chr05_19036,SRR11749601,1,stem,DH201-2,,3,560.0,37.0111
23,Chr05_19036,SRR11749602,1,callus,GL9,,3,41.0,2.8291
23,Chr05_19036,SRR11749603,1,callus,GL9,,2,29.0,2.3321
23,Chr05_19036,SRR11749604,1,stem,DH201-2,,2,453.0,30.6401
23,Chr05_19036,SRR11749605,1,stem,DH201-2,,1,406.0,25.0698
23,Chr05_19036,SRR14138141,3,stem,,tension_wood,1,4.0,0.8079
23,Chr05_19036,SRR14138142,3,stem,,opposite_wood,1,2.0,0.4255
23,Chr05_19036,SRR14138144,3,stem,,tension_wood,2,5.0,0.9179
23,Chr05_19036,SRR14138145,3,stem,,opposite_wood,2,5.0,1.3477
23,Chr05_19036,SRR14138146,3,stem,,unbent_control,2,2.0,0.4438
23,Chr05_19036,SRR5433935,4,leaves,,,1,156.0,10.8327
23,Chr05_19036,SRR5433936,4,stem,,,1,43.0,1.9074
18,Chr05_19932,SRR11749594,1,callus,GL9,,1,2.0,0.1473
18,Chr05_19932,SRR11749595,1,stem,GL9,,3,1441.0,89.6496
18,Chr05_19932,SRR11749596,1,stem,GL9,,2,2700.0,166.0057
18,Chr05_19932,SRR11749597,1,stem,GL9,,1,1969.0,144.9364
18,Chr05_19932,SRR11749598,1,callus,DH201-2,,3,1.0,0.0794
18,Chr05_19932,SRR11749599,1,callus,DH201-2,,2,45.0,3.3824
18,Chr05_19932,SRR11749600,1,callus,DH201-2,,1,3.0,0.2326
18,Chr05_19932,SRR11749601,1,stem,DH201-2,,3,681.0,45.0081
18,Chr05_19932,SRR11749602,1,callus,GL9,,3,5.0,0.345
18,Chr05_19932,SRR11749603,1,callus,GL9,,2,3.0,0.2413
18,Chr05_19932,SRR11749604,1,stem,DH201-2,,2,421.0,28.4757
18,Chr05_19932,SRR11749605,1,stem,DH201-2,,1,1020.0,62.9832
18,Chr05_19932,SRR5433935,4,leaves,,,1,2.0,0.1389
19,Chr05_19934,SRR11749595,1,stem,GL9,,3,182.0,11.3229
