accession,node_id,mirna_status,node_type
,Eucgr.E02039,,protein
,Eucgr.E02164,,protein
,Eucgr.E02219,,protein
,Eucgr.E02243,,protein
,Eucgr.E02396,,protein
,Eucgr.E02473,,protein
,Eucgr.E02482,,protein
,Eucgr.E02546,,protein
,Eucgr.E02654,,protein
,Eucgr.E02662,,protein
,Eucgr.E02760,,protein
,Eucgr.E02771,,protein
,Eucgr.E02926,,protein
,Eucgr.E02928,,protein
,Eucgr.E02950,,protein
,Eucgr.E02959,,protein
,Eucgr.E03040,,protein
,Eucgr.E03165,,protein
,Eucgr.E03204,,protein
,Eucgr.E03260,,protein
,Eucgr.E03314,,protein
,Eucgr.E03438,,protein
,Eucgr.E03741,,protein
,Eucgr.E03745,,protein
,Eucgr.E03804,,protein
,Eucgr.E03848,,protein
,Eucgr.E03850,,protein
,Eucgr.E03954,,protein
,Eucgr.E04075,,protein
,Eucgr.E04128,,protein
,Eucgr.E04129,,protein
,Eucgr.E04225,,protein
,Eucgr.E04234,,protein
,Eucgr.E04239,,protein
,Eucgr.E04347,,protein
,Eucgr.E04371,,protein
,Eucgr.F00097,,protein
,Eucgr.F00123,,protein
,Eucgr.F00337,,protein
,Eucgr.F00338,,protein
,Eucgr.F00340,,protein
,Eucgr.F00343,,protein
,Eucgr.F00346,,protein
,Eucgr.F00353,,protein
,Eucgr.F00355,,protein
,Eucgr.F00357,,protein
,Eucgr.F00398,,protein
,Eucgr.F00427,,protein
,Eucgr.F00542,,protein
,Eucgr.F00551,,protein
,Eucgr.F00556,,protein
,Eucgr.F00587,,protein
,Eucgr.F00608,,protein
,Eucgr.F00618,,protein
,Eucgr.F00717,,protein
,Eucgr.F00749,,protein
,Eucgr.F00823,,protein
,Eucgr.F00825,,protein
,Eucgr.F00830,,protein
,Eucgr.F00834,,protein
,Eucgr.F00837,,protein
,Eucgr.F00839,,protein
,Eucgr.F00845,,protein
,Eucgr.F00886,,protein
,Eucgr.F00904,,protein
,Eucgr.F00908,,protein
,Eucgr.F00914,,protein
,Eucgr.F00923,,protein
,Eucgr.F00937,,protein
,Eucgr.F00954,,protein
,Eucgr.F00956,,protein
,Eucgr.F01022,,protein
,Eucgr.F01074,,protein
,Eucgr.F01108,,protein
,Eucgr.F01129,,protein
,Eucgr.F01130,,protein
,Eucgr.F01170,,protein
,Eucgr.F01325,,protein
,Eucgr.F01418,,protein
,Eucgr.F01421,,protein
,Eucgr.F01428,,protein
,Eucgr.F01432,,protein
,Eucgr.F01437,,protein
,Eucgr.F01449,,protein
,Eucgr.F01460,,protein
,Eucgr.F01630,,protein
,Eucgr.F01653,,protein
,Eucgr.F01711,,protein
,Eucgr.F01759,,protein
,Eucgr.F01852,,protein
,Eucgr.F01869,,protein
,Eucgr.F01980,,protein
,Eucgr.F02016,,protein
,Eucgr.F02074,,protein
,Eucgr.F02079,,protein
,Eucgr.F02083,,protein
,Eucgr.F02120,,protein
,Eucgr.F02125,,protein
,Eucgr.F02219,,protein
,Eucgr.F02230,,protein
,Eucgr.F02533,,protein
,Eucgr.F02583,,protein
,Eucgr.F02602,,protein
,Eucgr.F02609,,protein
,Eucgr.F02611,,protein
,Eucgr.F02641,,protein
,Eucgr.F02649,,protein
,Eucgr.F02820,,protein
,Eucgr.F02859,,protein
,Eucgr.F02882,,protein
,Eucgr.F02927,,protein
,Eucgr.F02958,,protein
,Eucgr.F02986,,protein
,Eucgr.F03026,,protein
,Eucgr.F03066,,protein
,Eucgr.F03104,,protein
,Eucgr.F03169,,protein
,Eucgr.F03272,,protein
,Eucgr.F03303,,protein
,Eucgr.F03307,,protein
,Eucgr.F03409,,protein
,Eucgr.F03427,,protein
,Eucgr.F03507,,protein
,Eucgr.F03545,,protein
,Eucgr.F03560,,protein
,Eucgr.F03687,,protein
,Eucgr.F03769,,protein
,Eucgr.F03887,,protein
,Eucgr.F03896,,protein
,Eucgr.F03913,,protein
,Eucgr.F04001,,protein
,Eucgr.F04004,,protein
,Eucgr.F04034,,protein
,Eucgr.F04101,,protein
,Eucgr.F04164,,protein
,Eucgr.F04172,,protein
,Eucgr.F04235,,protein
,Eucgr.F04311,,protein
,Eucgr.F04341,,protein
,Eucgr.F04355,,protein
,Eucgr.F04380,,protein
,Eucgr.F04420,,protein
,Eucgr.G00160,,protein
,Eucgr.G00476,,protein
,Eucgr.G00620,,protein
,Eucgr.G00728,,protein
,Eucgr.G00745,,protein
,Eucgr.G00775,,protein
,Eucgr.G00881,,protein
,Eucgr.G00901,,protein
,Eucgr.G00904,,protein
,Eucgr.G00948,,protein
,Eucgr.G00982,,protein
,Eucgr.G01060,,protein
,Eucgr.G01066,,protein
,Eucgr.G01074,,protein
,Eucgr.G01271,,protein
,Eucgr.G01379,,protein
,Eucgr.G01491,,protein
,Eucgr.G01550,,protein
,Eucgr.G01551,,protein
,Eucgr.G01599,,protein
,Eucgr.G01611,,protein
,Eucgr.G01626,,protein
,Eucgr.G01740,,protein
,Eucgr.G01750,,protein
,Eucgr.G01758,,protein
,Eucgr.G01806,,protein
,Eucgr.G01811,,protein
,Eucgr.G01934,,protein
,Eucgr.G01964,,protein
,Eucgr.G01972,,protein
,Eucgr.G01978,,protein
,Eucgr.G02159,,protein
,Eucgr.G02361,,protein
,Eucgr.G02369,,protein
,Eucgr.G02410,,protein
,Eucgr.G02447,,protein
,Eucgr.G02483,,protein
,Eucgr.G02582,,protein
,Eucgr.G02696,,protein
,Eucgr.G02729,,protein
,Eucgr.G02771,,protein
,Eucgr.G02780,,protein
,Eucgr.G02821,,protein
,Eucgr.G02838,,protein
,Eucgr.G02857,,protein
,Eucgr.G02946,,protein
,Eucgr.G03015,,protein
,Eucgr.G03134,,protein
,Eucgr.G03140,,protein
,Eucgr.G03151,,protein
,Eucgr.G03188,,protein
,Eucgr.G03265,,protein
,Eucgr.G03275,,protein
,Eucgr.G03354,,protein
,Eucgr.H00012,,protein
,Eucgr.H00247,,protein
,Eucgr.H00344,,protein
,Eucgr.H00378,,protein
,Eucgr.H00382,,protein
,Eucgr.H00430,,protein
,Eucgr.H00555,,protein
,Eucgr.H00600,,protein
,Eucgr.H00603,,protein
,Eucgr.H00605,,protein
,Eucgr.H00644,,protein
,Eucgr.H00677,,protein
,Eucgr.H00812,,protein
,Eucgr.H00875,,protein
,Eucgr.H00886,,protein
,Eucgr.H00933,,protein
,Eucgr.H00959,,protein
,Eucgr.H01018,,protein
,Eucgr.H01023,,protein
,Eucgr.H01030,,protein
,Eucgr.H01176,,protein
,Eucgr.H01205,,protein
,Eucgr.H01257,,protein
,Eucgr.H01273,,protein
,Eucgr.H01292,,protein
,Eucgr.H01305,,protein
,Eucgr.H01423,,protein
,Eucgr.H01686,,protein
,Eucgr.H01928,,protein
,Eucgr.H02164,,protein
,Eucgr.H02237,,protein
,Eucgr.H02264,,protein
,Eucgr.H02359,,protein
,Eucgr.H02362,,protein
,Eucgr.H02369,,protein
,Eucgr.H02376,,protein
,Eucgr.H02472,,protein
,Eucgr.H02580,,protein
,Eucgr.H02630,,protein
,Eucgr.H02645,,protein
,Eucgr.H02647,,protein
,Eucgr.H02825,,protein
,Eucgr.H02956,,protein
,Eucgr.H02967,,protein
,Eucgr.H03134,,protein
,Eucgr.H03154,,protein
,Eucgr.H03321,,protein
,Eucgr.H03360,,protein
,Eucgr.H03408,,protein
,Eucgr.H03411,,protein
,Eucgr.H03479,,protein
,Eucgr.H03480,,protein
,Eucgr.H03528,,protein
,Eucgr.H03574,,protein
,Eucgr.H03592,,protein
,Eucgr.H03679,,protein
,Eucgr.H03694,,protein
,Eucgr.H03699,,protein
,Eucgr.H03707,,protein
,Eucgr.H03723,,protein
,Eucgr.H03741,,protein
,Eucgr.H03745,,protein
,Eucgr.H03746,,protein
,Eucgr.H03750,,protein
,Eucgr.H03761,,protein
,Eucgr.H03785,,protein
,Eucgr.H03809,,protein
,Eucgr.H03827,,protein
,Eucgr.H03945,,protein
,Eucgr.H04081,,protein
,Eucgr.H04089,,protein
,Eucgr.H04146,,protein
,Eucgr.H04148,,protein
,Eucgr.H04218,,protein
,Eucgr.H04429,,protein
,Eucgr.H04431,,protein
,Eucgr.H04503,,protein
,Eucgr.H04609,,protein
,Eucgr.H04616,,protein
,Eucgr.H04620,,protein
,Eucgr.H04640,,protein
,Eucgr.H04669,,protein
,Eucgr.H04688,,protein
,Eucgr.H04799,,protein
,Eucgr.H04816,,protein
,Eucgr.H04922,,protein
,Eucgr.H04969,,protein
,Eucgr.H05012,,protein
,Eucgr.H05056,,protein
,Eucgr.I00178,,protein
,Eucgr.I00181,,protein
,Eucgr.I00188,,protein
,Eucgr.I00195,,protein
,Eucgr.I00699,,protein
,Eucgr.I00704,,protein
,Eucgr.I00852,,protein
,Eucgr.I01117,,protein
,Eucgr.I01183,,protein
,Eucgr.I01424,,protein
,Eucgr.I01660,,protein
,Eucgr.I01815,,protein
,Eucgr.I01926,,protein
,Eucgr.I02024,,protein
,Eucgr.I02070,,protein
,Eucgr.I02250,,protein
,Eucgr.I02286,,protein
,Eucgr.I02287,,protein
,Eucgr.I02304,,protein
,Eucgr.I02335,,protein
,Eucgr.I02373,,protein
,Eucgr.I02496,,protein
,Eucgr.I02520,,protein
,Eucgr.I02599,,protein
,Eucgr.I02709,,protein
,Eucgr.I02742,,protein
,Eucgr.I02762,,protein
,Eucgr.J00024,,protein
,Eucgr.J00040,,protein
,Eucgr.J00249,,protein
,Eucgr.J00359,,protein
,Eucgr.J00373,,protein
,Eucgr.J00484,,protein
,Eucgr.J00730,,protein
,Eucgr.J00798,,protein
,Eucgr.J00854,,protein
,Eucgr.J00923,,protein
,Eucgr.J00987,,protein
,Eucgr.J01144,,protein
,Eucgr.J01177,,protein
,Eucgr.J01189,,protein
,Eucgr.J01246,,protein
,Eucgr.J01412,,protein
,Eucgr.J01430,,protein
,Eucgr.J01434,,protein
,Eucgr.J01519,,protein
,Eucgr.J01689,,protein
,Eucgr.J01766,,protein
,Eucgr.J01777,,protein
,Eucgr.J01882,,protein
,Eucgr.J01889,,protein
,Eucgr.J02025,,protein
,Eucgr.J02056,,protein
,Eucgr.J02124,,protein
,Eucgr.J02129,,protein
,Eucgr.J02225,,protein
,Eucgr.J02295,,protein
,Eucgr.J02354,,protein
,Eucgr.J02380,,protein
,Eucgr.J02404,,protein
,Eucgr.J02435,,protein
,Eucgr.J02454,,protein
,Eucgr.J02495,,protein
,Eucgr.J02764,,protein
,Eucgr.J02821,,protein
,Eucgr.J02987,,protein
,Eucgr.J03154,,protein
,Eucgr.J03155,,protein
,Eucgr.J03156,,protein
,Eucgr.J03158,,protein
,Eucgr.J03194,,protein
,Eucgr.K00083,,protein
,Eucgr.K00108,,protein
,Eucgr.K00131,,protein
,Eucgr.K00143,,protein
,Eucgr.K00185,,protein
,Eucgr.K00288,,protein
,Eucgr.K00398,,protein
,Eucgr.K00433,,protein
,Eucgr.K00559,,protein
,Eucgr.K00600,,protein
,Eucgr.K00636,,protein
,Eucgr.K00641,,protein
,Eucgr.K00653,,protein
,Eucgr.K00738,,protein
,Eucgr.K00899,,protein
,Eucgr.K00937,,protein
,Eucgr.K01032,,protein
,Eucgr.K01046,,protein
,Eucgr.K01120,,protein
,Eucgr.K01151,,protein
,Eucgr.K01192,,protein
,Eucgr.K01212,,protein
,Eucgr.K01238,,protein
,Eucgr.K01240,,protein
,Eucgr.K01281,,protein
,Eucgr.K01324,,protein
,Eucgr.K01327,,protein
,Eucgr.K01427,,protein
,Eucgr.K01444,,protein
,Eucgr.K01450,,protein
,Eucgr.K01496,,protein
,Eucgr.K01667,,protein
,Eucgr.K01669,,protein
,Eucgr.K01681,,protein
,Eucgr.K01705,,protein
,Eucgr.K01818,,protein
,Eucgr.K01820,,protein
,Eucgr.K01828,,protein
,Eucgr.K01870,,protein
,Eucgr.K01921,,protein
,Eucgr.K01937,,protein
,Eucgr.K02068,,protein
,Eucgr.K02109,,protein
,Eucgr.K02206,,protein
,Eucgr.K02341,,protein
,Eucgr.K02358,,protein
,Eucgr.K02431,,protein
,Eucgr.K02448,,protein
,Eucgr.K02468,,protein
,Eucgr.K02499,,protein
,Eucgr.K02545,,protein
,Eucgr.K02574,,protein
,Eucgr.K02663,,protein
,Eucgr.K02708,,protein
,Eucgr.K02742,,protein
,Eucgr.K02752,,protein
,Eucgr.K02803,,protein
,Eucgr.K02930,,protein
,Eucgr.K02931,,protein
,Eucgr.K03192,,protein
,Eucgr.K03194,,protein
,Eucgr.K03271,,protein
,Eucgr.K03390,,protein
,Eucgr.K03420,,protein
,Eucgr.K03578,,protein
,Eucgr.K03591,,protein
,Eucgr.L00158,,protein
,Eucgr.L00193,,protein
,Eucgr.L00471,,protein
,Eucgr.L00593,,protein
,Eucgr.L00657,,protein
,Eucgr.L00696,,protein
,Eucgr.L00700,,protein
,Eucgr.L00961,,protein
,Eucgr.L00981,,protein
,Eucgr.L00991,,protein
,Eucgr.L01111,,protein
,Eucgr.L01200,,protein
,Eucgr.L01216,,protein
,Eucgr.L01260,,protein
,Eucgr.L01342,,protein
,Eucgr.L01406,,protein
,Eucgr.L01482,,protein
,Eucgr.L01631,,protein
,Eucgr.L01638,,protein
,Eucgr.L01850,,protein
,Eucgr.L01860,,protein
,Eucgr.L01867,,protein
,Eucgr.L01909,,protein
,Eucgr.L01911,,protein
,Eucgr.L01982,,protein
,Eucgr.L01986,,protein
,Eucgr.L02313,,protein
,Eucgr.L02344,,protein
,Eucgr.L02348,,protein
,Eucgr.L02536,,protein
,Eucgr.L02705,,protein
,Eucgr.L02794,,protein
,Eucgr.L02915,,protein
,Eucgr.L02994,,protein
,Eucgr.L03008,,protein
,Eucgr.L03036,,protein
,Eucgr.L03100,,protein
,Eucgr.L03240,,protein
,Eucgr.L03438,,protein
,Eucgr.L03490,,protein
,Eucgr.L03511,,protein
,Eucgr.L03586,,protein
1,Chr01_850,novel,miRNA
2,Chr01_1229,novel,miRNA
3,Chr01_1680,novel,miRNA
4,Chr01_1685,novel,miRNA
5,Chr01_1896,novel,miRNA
6,Chr01_2889,novel,miRNA
7,Chr01_2891,novel,miRNA
8,Chr02_5696,novel,miRNA
9,Chr02_5754,novel,miRNA
10,Chr02_8243,novel,miRNA
11,Chr03_9415,novel,miRNA
12,Chr03_12234,novel,miRNA
13,Chr03_12134,novel,miRNA
14,Chr03_14086,novel,miRNA
15,Chr03_14181,novel,miRNA
16,Chr05_18368,novel,miRNA
17,Chr05_17624,novel,miRNA
18,Chr05_19932,novel,miRNA
19,Chr05_19934,novel,miRNA
20,Chr05_20206,novel,miRNA
21,Chr05_20208,novel,miRNA
22,Chr05_20214,novel,miRNA
23,Chr05_19036,novel,miRNA
24,Chr05_23089,novel,miRNA
25,Chr05_23094,novel,miRNA
26,Chr05_23096,novel,miRNA
27,Chr05_23098,novel,miRNA
28,Chr05_23099,novel,miRNA
29,Chr05_21615,novel,miRNA
30,Chr06_22113,novel,miRNA
31,Chr06_24996,novel,miRNA
32,Chr06_24998,novel,miRNA
33,Chr07_27100,novel,miRNA
34,Chr07_27268,novel,miRNA
35,Chr07_27909,novel,miRNA
36,Chr07_28550,novel,miRNA
37,Chr07_28646,novel,miRNA
38,Chr07_30125,novel,miRNA
39,Chr07_30134,novel,miRNA
40,Chr08_30381,novel,miRNA
41,Chr08_30829,novel,miRNA
42,Chr08_30632,novel,miRNA
43,Chr08_31426,novel,miRNA
44,Chr08_33849,novel,miRNA
45,Chr08_34494,novel,miRNA
46,Chr08_34702,novel,miRNA
47,Chr08_35572,novel,miRNA
48,Chr08_35612,novel,miRNA
49,Chr09_36711,novel,miRNA
50,Chr09_36714,novel,miRNA
51,Chr09_36718,novel,miRNA
52,Chr09_37979,novel,miRNA
53,Chr10_41135,novel,miRNA
54,Chr10_41201,novel,miRNA
55,Chr10_41575,novel,miRNA
56,Chr10_40549,novel,miRNA
57,Chr11_41982,novel,miRNA
58,Chr11_42092,novel,miRNA
59,Chr11_44314,novel,miRNA
60,Chr11_43106,novel,miRNA
61,scaffold_1630_46529,novel,miRNA
62,scaffold_233_45604,novel,miRNA
63,scaffold_368_45308,novel,miRNA
64,scaffold_368_47485,novel,miRNA
65,scaffold_46_44237,novel,miRNA
66,scaffold_46_44239,novel,miRNA
67,scaffold_46_44242,novel,miRNA
68,scaffold_60_44348,novel,miRNA
69,Egr-miR156a,known,miRNA
70,Egr-miR156b,known,miRNA
71,Egr-miR156d,known,miRNA
72,Egr-miR156e,known,miRNA
73,Egr-miR156f,known,miRNA
74,Egr-miR156h,known,miRNA
75,Egr-miR156i,known,miRNA
76,Egr-miR156j,known,miRNA
77,Egr-miR156k,known,miRNA
78,Egr-miR156l,known,miRNA
79,Egr-miR156m,known,miRNA
80,Egr-miR156n,known,miRNA
81,Egr-miR156o,known,miRNA
82,Egr-miR164a,known,miRNA
83,Egr-miR165b,known,miRNA
84,Egr-miR165e,known,miRNA
85,Egr-miR165f,known,miRNA
86,Egr-miR167a,known,miRNA
87,Egr-miR167b,known,miRNA
88,Egr-miR167c,known,miRNA
89,Egr-miR396a,known,miRNA
90,Egr-miR396c,known,miRNA
91,Egr-miR482a,known,miRNA
92,Egr-miR482b,known,miRNA
93,Egr-miR535a,known,miRNA
94,Egr-miR535b,known,miRNA
95,Egr-miRN5651,known,miRNA
96,Egr-miRN5652,known,miRNA
97,Egr-miRN5654,known,miRNA
98,Egr-miRN5668,known,miRNA
99,Egr-miRN5674,known,miRNA
